"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Document Type","Publication Stage","Open Access","Source","EID"
"Guo Z.; Meng D.; Chakraborty C.; Fan X.-R.; Bhardwaj A.; Yu K.","Guo, Zhiwei (57194773275); Meng, Dian (57248827000); Chakraborty, Chinmay (7005340424); Fan, Xing-Rong (56707901700); Bhardwaj, Arpit (49361153100); Yu, Keping (56316023300)","57194773275; 57248827000; 7005340424; 56707901700; 49361153100; 56316023300","Autonomous Behavioral Decision for Vehicular Agents Based on Cyber-Physical Social Intelligence","2023","IEEE Transactions on Computational Social Systems","10","4","","2111","2122","11","19","10.1109/TCSS.2022.3212864","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141427919&doi=10.1109%2fTCSS.2022.3212864&partnerID=40&md5=3de6640f961d90a69557c79efd988259","Chongqing Technology and Business University, Chongqing Key Laboratory of Intelligent Perception and BlockChain Technology, National Research Base of Intelligent Manufacturing Services, Chongqing, 400067, China; BIT Mesra, Department of Electronics and Communication Engineering, Mesra, 835215, India; BML Munjal University, School of Engineering and Technology, Kapriwas, 122413, India; Hosei University, Graduate School of Science and Engineering, Tokyo, 184-8584, Japan; RIKEN Center for Advanced Intelligence Project, RIKEN, Tokyo, 103-0027, Japan","Guo Z., Chongqing Technology and Business University, Chongqing Key Laboratory of Intelligent Perception and BlockChain Technology, National Research Base of Intelligent Manufacturing Services, Chongqing, 400067, China; Meng D., Chongqing Technology and Business University, Chongqing Key Laboratory of Intelligent Perception and BlockChain Technology, National Research Base of Intelligent Manufacturing Services, Chongqing, 400067, China; Chakraborty C., BIT Mesra, Department of Electronics and Communication Engineering, Mesra, 835215, India; Fan X.-R., Chongqing Technology and Business University, Chongqing Key Laboratory of Intelligent Perception and BlockChain Technology, National Research Base of Intelligent Manufacturing Services, Chongqing, 400067, China; Bhardwaj A., BML Munjal University, School of Engineering and Technology, Kapriwas, 122413, India; Yu K., Hosei University, Graduate School of Science and Engineering, Tokyo, 184-8584, Japan, RIKEN Center for Advanced Intelligence Project, RIKEN, Tokyo, 103-0027, Japan","Article","Final","","Scopus","2-s2.0-85141427919"
"Shweta; Kumar D.; Chandra D.","Shweta (57222475424); Kumar, Dinesh (57289274400); Chandra, Dheeraj (57197728001)","57222475424; 57289274400; 57197728001","A hybrid framework to model resilience in the generic medicine supply chain of MSMEs","2023","Benchmarking","30","6","","2189","2224","35","1","10.1108/BIJ-11-2021-0697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139397596&doi=10.1108%2fBIJ-11-2021-0697&partnerID=40&md5=4dc8b8af890c0642d2fb04ad626963f2","Department of Mechanical and Industrial Engineering, Indian Institute of Technology Roorkee, Roorkee, India; School of Management, BML Munjal University, Gurgaon, India","Shweta, Department of Mechanical and Industrial Engineering, Indian Institute of Technology Roorkee, Roorkee, India; Kumar D., Department of Mechanical and Industrial Engineering, Indian Institute of Technology Roorkee, Roorkee, India; Chandra D., School of Management, BML Munjal University, Gurgaon, India","Article","Final","","Scopus","2-s2.0-85139397596"
"Ghosh D.; Sankaranarayanan J.; Khatter K.; Samet H.","Ghosh, Debajyoti (57209128676); Sankaranarayanan, Jagan (12759504100); Khatter, Kiran (54787827500); Samet, Hanan (35556471300)","57209128676; 12759504100; 54787827500; 35556471300","Opportunistic package delivery as a service on road networks","2023","GeoInformatica","","","","","","","1","10.1007/s10707-023-00497-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160866672&doi=10.1007%2fs10707-023-00497-2&partnerID=40&md5=50eb74e1496146d6e8e8c5e71a25036f","BML Munjal University, Haryana, India; Google Inc., Sunnyvale, CA, United States; University of Maryland, College Park, MD, United States","Ghosh D., BML Munjal University, Haryana, India; Sankaranarayanan J., Google Inc., Sunnyvale, CA, United States; Khatter K., BML Munjal University, Haryana, India; Samet H., University of Maryland, College Park, MD, United States","Article","Article in press","","Scopus","2-s2.0-85160866672"
"Rao A.; Kumar S.","Rao, Amar (57344924300); Kumar, Satish (57992552600)","57344924300; 57992552600","Are environment-related technologies key to unlock the path towards sustainable development: An econometric analysis","2023","Geoscience Frontiers","","","101702","","","","0","10.1016/j.gsf.2023.101702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171188798&doi=10.1016%2fj.gsf.2023.101702&partnerID=40&md5=756269fcbcab94aa15b0adcb27464f69","School of Management, BML Munjal University, Haryana, Gurugram, India; Indian Institute of Management Nagpur, India","Rao A., School of Management, BML Munjal University, Haryana, Gurugram, India; Kumar S., Indian Institute of Management Nagpur, India","Article","Article in press","All Open Access; Gold Open Access","Scopus","2-s2.0-85171188798"
"Shen Z.; Ding F.; Yao Y.; Bhardwaj A.; Guo Z.; Yu K.","Shen, Zhangyi (57202385734); Ding, Feng (56289824200); Yao, Ye (57072148100); Bhardwaj, Arpit (49361153100); Guo, Zhiwei (57194773275); Yu, Keping (56316023300)","57202385734; 56289824200; 57072148100; 49361153100; 57194773275; 56316023300","A Privacy-Preserving Social Computing Framework for Health Management Using Federated Learning","2023","IEEE Transactions on Computational Social Systems","10","4","","1666","1678","12","4","10.1109/TCSS.2022.3222682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146257573&doi=10.1109%2fTCSS.2022.3222682&partnerID=40&md5=c20fe517bb3a901f1561366e0b99c66d","Hangzhou Dianzi University, School of Cyberspace, Hangzhou, 310018, China; Nanchang University, School of Software, Nanchang, 330031, China; BML Munjal University, Department of Computer Science and Engineering (CSE), Gurugram, 122413, India; Chongqing Technology and Business University, School of Artificial Intelligence, Chongqing, 400067, China; Hosei University, Graduate School of Science and Engineering, Tokyo, 184-8584, Japan; RIKEN, RIKEN Center for Advanced Intelligence Project, Tokyo, 103-0027, Japan","Shen Z., Hangzhou Dianzi University, School of Cyberspace, Hangzhou, 310018, China; Ding F., Nanchang University, School of Software, Nanchang, 330031, China; Yao Y., Hangzhou Dianzi University, School of Cyberspace, Hangzhou, 310018, China; Bhardwaj A., BML Munjal University, Department of Computer Science and Engineering (CSE), Gurugram, 122413, India; Guo Z., Chongqing Technology and Business University, School of Artificial Intelligence, Chongqing, 400067, China; Yu K., Hosei University, Graduate School of Science and Engineering, Tokyo, 184-8584, Japan, RIKEN, RIKEN Center for Advanced Intelligence Project, Tokyo, 103-0027, Japan","Article","Final","","Scopus","2-s2.0-85146257573"
"Mittal S.; Mishra A.; Khatter K.","Mittal, Shashank (58503528400); Mishra, Atul (57214672356); Khatter, Kiran (54787827500)","58503528400; 57214672356; 54787827500","Psquad: Plagiarism detection and document similarity of Hindi text","2023","Multimedia Tools and Applications","","","","","","","0","10.1007/s11042-023-15921-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165569764&doi=10.1007%2fs11042-023-15921-w&partnerID=40&md5=ffe5725105d1d887fe27c3eb485e8e82","BML Munjal University, Gurugram, India","Mittal S., BML Munjal University, Gurugram, India; Mishra A., BML Munjal University, Gurugram, India; Khatter K., BML Munjal University, Gurugram, India","Article","Article in press","","Scopus","2-s2.0-85165569764"
"Das Dawn D.; Khan A.; Shaikh S.H.; Pal R.K.","Das Dawn, Debapratim (56543808800); Khan, Abhinandan (37665182000); Shaikh, Soharab Hossain (36761579500); Pal, Rajat Kumar (7201402133)","56543808800; 37665182000; 36761579500; 7201402133","Lexeme connexion measure of cohesive lexical ambiguity revealing factor: a robust approach for word sense disambiguation of Bengali text","2023","Multimedia Tools and Applications","","","","","","","0","10.1007/s11042-023-14676-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163743125&doi=10.1007%2fs11042-023-14676-8&partnerID=40&md5=1c443f9bee964d1982ab686017e00fda","Department of Computer Science and Engineering, University of Calcutta, Acharya Prafulla Chandra Roy Shiksha Prangan, JD-2, Sector-III, Saltlake, Kolkata, 700106, India; Product Development and Diversification, ARP Engineering, 147 Nilgunj Road, Kolkata, 700056, India; Department of Computer Science and Engineering, BML Munjal University, National Highway 8, 67KM Milestone, Haryana, Gurugram, 122413, India","Das Dawn D., Department of Computer Science and Engineering, University of Calcutta, Acharya Prafulla Chandra Roy Shiksha Prangan, JD-2, Sector-III, Saltlake, Kolkata, 700106, India; Khan A., Department of Computer Science and Engineering, University of Calcutta, Acharya Prafulla Chandra Roy Shiksha Prangan, JD-2, Sector-III, Saltlake, Kolkata, 700106, India, Product Development and Diversification, ARP Engineering, 147 Nilgunj Road, Kolkata, 700056, India; Shaikh S.H., Department of Computer Science and Engineering, BML Munjal University, National Highway 8, 67KM Milestone, Haryana, Gurugram, 122413, India; Pal R.K., Department of Computer Science and Engineering, University of Calcutta, Acharya Prafulla Chandra Roy Shiksha Prangan, JD-2, Sector-III, Saltlake, Kolkata, 700106, India","Article","Article in press","","Scopus","2-s2.0-85163743125"
"Sharma S.; Singh H.; Kumar R.; Arora M.K.","Sharma, Swati (58596939600); Singh, Haramrit (57677297700); Kumar, Rohan (56042137300); Arora, Manoj K. (7103319791)","58596939600; 57677297700; 56042137300; 7103319791","Mapping of Annual Ground Displacement Using Remote Sensing Methods for Critical Slopes Along the Bhagirathi River in Uttarakhand, India","2023","Landslides: Detection, Predict. and Monit.: Technol. Dev.","","","","307","320","13","0","10.1007/978-3-031-23859-8_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171003619&doi=10.1007%2f978-3-031-23859-8_15&partnerID=40&md5=95a53940d0f27e0a5dd7ee786105afd1","Amity Institute of Remote Sensing and GIS, Amity University, Noida, India; Department of Civil Engineering, Punjab Engineering College, Chandigarh, India; Department of Chemical and Petroleum Engineering, Lovely Professional University, Jalandhar, India; BML Munjal University, Gurgaon, India","Sharma S., Amity Institute of Remote Sensing and GIS, Amity University, Noida, India; Singh H., Department of Civil Engineering, Punjab Engineering College, Chandigarh, India; Kumar R., Department of Chemical and Petroleum Engineering, Lovely Professional University, Jalandhar, India; Arora M.K., BML Munjal University, Gurgaon, India","Book chapter","Final","","Scopus","2-s2.0-85171003619"
"Kumar P.; Culham T.E.; Major R.J.; Peregoy R.","Kumar, Payal (58613262900); Culham, Tom Elwood (56652179700); Major, Richard J. (58613248100); Peregoy, Richard (6505996148)","58613262900; 56652179700; 58613248100; 6505996148","Managing emotions for teachers and students: The litmus test of inner awareness","2023","Honing Self-Awareness of Faculty and Future Business Leaders: Emotions Connected with Teaching and Learning","","","","1","4","3","0","10.1108/978-1-80262-349-920231020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171957223&doi=10.1108%2f978-1-80262-349-920231020&partnerID=40&md5=6dc1f98d1b62431d78c72524263c1955","BML Munjal University, India; Beedie School of Business, Simon Fraser University, Canada; Institut de Gestion Sociale, Paris, France; Gupta College of Business, University of Dallas, United States","Kumar P., BML Munjal University, India; Culham T.E., Beedie School of Business, Simon Fraser University, Canada; Major R.J., Institut de Gestion Sociale, Paris, France; Peregoy R., Gupta College of Business, University of Dallas, United States","Book chapter","Final","","Scopus","2-s2.0-85171957223"
"Goswami T.; Kumar S.; Bheemaraju A.; Reddy K.M.; Sharma A.K.; Kataria A.; Shrivastav A.","Goswami, Tapas (26635238800); Kumar, Sushil (55667512500); Bheemaraju, Amarnath (54392380300); Reddy, K. Mohan (57214447055); Sharma, Amit Kumar (55605770459); Kataria, Aditya (57220200816); Shrivastav, Akansha (57614776000)","26635238800; 55667512500; 54392380300; 57214447055; 55605770459; 57220200816; 57614776000","TiO2 Nanoparticles and Nb2O5 Nanorods Immobilized rGO for Efficient Visible-Light Photocatalysis and Catalytic Reduction","2023","Catalysis Letters","153","2","","605","621","16","2","10.1007/s10562-022-04000-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128757527&doi=10.1007%2fs10562-022-04000-8&partnerID=40&md5=c279d09f0ca1d71866eb668ea7eda108","Department of Chemistry, School of Engineering, University of Petroleum & Energy Studies (UPES), Energy Acres Building, Uttarakhand, Dehradun, 248007, India; Department of Applied Sciences, School of Engineering and Technology, BML Munjal University, Sidhrawali, Haryana, Gurgaon, 122413, India","Goswami T., Department of Chemistry, School of Engineering, University of Petroleum & Energy Studies (UPES), Energy Acres Building, Uttarakhand, Dehradun, 248007, India; Kumar S., Department of Chemistry, School of Engineering, University of Petroleum & Energy Studies (UPES), Energy Acres Building, Uttarakhand, Dehradun, 248007, India; Bheemaraju A., Department of Applied Sciences, School of Engineering and Technology, BML Munjal University, Sidhrawali, Haryana, Gurgaon, 122413, India; Reddy K.M., Department of Chemistry, School of Engineering, University of Petroleum & Energy Studies (UPES), Energy Acres Building, Uttarakhand, Dehradun, 248007, India; Sharma A.K., Department of Chemistry, School of Engineering, University of Petroleum & Energy Studies (UPES), Energy Acres Building, Uttarakhand, Dehradun, 248007, India; Kataria A., Department of Chemistry, School of Engineering, University of Petroleum & Energy Studies (UPES), Energy Acres Building, Uttarakhand, Dehradun, 248007, India; Shrivastav A., Department of Chemistry, School of Engineering, University of Petroleum & Energy Studies (UPES), Energy Acres Building, Uttarakhand, Dehradun, 248007, India","Article","Final","","Scopus","2-s2.0-85128757527"
"Chhillar S.; Sharma P.; Singh R.","Chhillar, Sandeep (58337084900); Sharma, Pankaj (57212203854); Singh, Ranbir (57309526600)","58337084900; 57212203854; 57309526600","Safety Management with Application of Internet of Things, Artificial Intelligence, and Machine Learning for Industry 4.0 Environment","2023","Handbook of Smart Manufacturing: Forecasting the Future of Industry 4.0","","","","329","342","13","0","10.1201/9781003333760-17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162733608&doi=10.1201%2f9781003333760-17&partnerID=40&md5=93b79fe6dfb6b1d6c667dadf50999be7","Department of Mechanical Engineering, JECRC University, Rajasthan, Jaipur, India; Department of Mechanical Engineering, JECRC University, Rajasthan, Jaipur, India; Department of Mechanical Engineering, BML Munjal University, Haryana, India","Chhillar S., Department of Mechanical Engineering, JECRC University, Rajasthan, Jaipur, India; Sharma P., Department of Mechanical Engineering, JECRC University, Rajasthan, Jaipur, India; Singh R., Department of Mechanical Engineering, BML Munjal University, Haryana, India","Book chapter","Final","","Scopus","2-s2.0-85162733608"
"Gupta A.S.; Mukherjee J.; Garg R.","Gupta, Astha Sanjeev (57703627300); Mukherjee, Jaydeep (57202490293); Garg, Ruchi (57210462830)","57703627300; 57202490293; 57210462830","Retailing during the COVID-19 lifecycle: a bibliometric study","2023","International Journal of Retail and Distribution Management","","","","","","","1","10.1108/IJRDM-09-2022-0363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159958729&doi=10.1108%2fIJRDM-09-2022-0363&partnerID=40&md5=a535805e0fc535bff760f834fa4e2ba4","Marketing Area, Management Development Institute, Gurgaon, India; BML Munjal University, Gurgaon, India","Gupta A.S., Marketing Area, Management Development Institute, Gurgaon, India; Mukherjee J., Marketing Area, Management Development Institute, Gurgaon, India; Garg R., BML Munjal University, Gurgaon, India","Article","Article in press","","Scopus","2-s2.0-85159958729"
"Das D.","Das, Dipankar (57208134053)","57208134053","Managing the job guarantee public policy schemes: a strategic approach","2023","Journal of Economic Studies","50","4","","645","673","28","0","10.1108/JES-09-2021-0483","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131423694&doi=10.1108%2fJES-09-2021-0483&partnerID=40&md5=f485a842f4b67b3ec2a706adde68a4ff","School of Management, BML Munjal University, Gurugram, India","Das D., School of Management, BML Munjal University, Gurugram, India","Article","Final","","Scopus","2-s2.0-85131423694"
